gid;#restaurants;rating
21;1094;1
106;941;0.860146252285192
105;916;0.837294332723949
122;690;0.630712979890311
14;657;0.60054844606947
149;597;0.545703839122486
125;529;0.483546617915905
22;503;0.459780621572212
41;435;0.397623400365631
123;421;0.384826325411335
100;376;0.343692870201097
87;369;0.337294332723949
60;363;0.33180987202925
57;361;0.329981718464351
42;353;0.322669104204753
28;347;0.317184643510055
175;338;0.308957952468007
101;328;0.29981718464351
114;315;0.287934186471664
83;301;0.275137111517367
189;289;0.264168190127971
120;243;0.222120658135283
124;239;0.218464351005484
102;238;0.217550274223035
51;236;0.215722120658135
182;235;0.214808043875686
86;226;0.206581352833638
34;223;0.203839122486289
159;219;0.20018281535649
33;212;0.193784277879342
113;207;0.189213893967093
44;204;0.186471663619744
58;197;0.180073126142596
79;196;0.179159049360146
27;188;0.171846435100548
15;186;0.170018281535649
77;183;0.1672760511883
73;183;0.1672760511883
190;177;0.161791590493601
37;171;0.156307129798903
178;167;0.152650822669104
170;165;0.150822669104205
143;163;0.148994515539305
112;162;0.148080438756856
84;159;0.145338208409506
76;157;0.143510054844607
48;157;0.143510054844607
194;154;0.140767824497258
45;145;0.13254113345521
1;144;0.131627056672761
72;144;0.131627056672761
95;141;0.128884826325411
81;138;0.126142595978062
49;133;0.121572212065814
96;129;0.117915904936015
185;123;0.112431444241316
89;116;0.106032906764168
132;115;0.105118829981718
152;115;0.105118829981718
150;114;0.104204753199269
90;113;0.103290676416819
12;112;0.102376599634369
134;111;0.10146252285192
53;111;0.10146252285192
40;111;0.10146252285192
4;111;0.10146252285192
151;109;0.0996343692870201
24;108;0.0987202925045704
148;108;0.0987202925045704
192;107;0.0978062157221207
46;106;0.0968921389396709
43;106;0.0968921389396709
165;101;0.0923217550274223
97;98;0.0895795246800731
54;91;0.0831809872029251
158;90;0.0822669104204753
142;90;0.0822669104204753
141;88;0.0804387568555759
195;88;0.0804387568555759
184;88;0.0804387568555759
157;87;0.0795246800731261
94;87;0.0795246800731261
26;87;0.0795246800731261
38;85;0.0776965265082267
177;84;0.076782449725777
99;84;0.076782449725777
155;84;0.076782449725777
2;83;0.0758683729433272
25;81;0.0740402193784278
146;81;0.0740402193784278
160;81;0.0740402193784278
3;78;0.0712979890310786
13;77;0.0703839122486289
163;77;0.0703839122486289
63;74;0.0676416819012797
176;72;0.0658135283363803
107;71;0.0648994515539305
6;70;0.0639853747714808
191;70;0.0639853747714808
11;68;0.0621572212065814
156;68;0.0621572212065814
162;67;0.0612431444241316
92;67;0.0612431444241316
78;67;0.0612431444241316
121;67;0.0612431444241316
82;66;0.0603290676416819
104;65;0.0594149908592322
39;64;0.0585009140767825
108;64;0.0585009140767825
61;64;0.0585009140767825
138;64;0.0585009140767825
136;63;0.0575868372943327
103;63;0.0575868372943327
47;63;0.0575868372943327
110;63;0.0575868372943327
16;62;0.056672760511883
183;62;0.056672760511883
154;61;0.0557586837294333
20;61;0.0557586837294333
130;61;0.0557586837294333
109;59;0.0539305301645338
164;58;0.0530164533820841
139;58;0.0530164533820841
119;57;0.0521023765996344
85;57;0.0521023765996344
50;57;0.0521023765996344
68;56;0.0511882998171846
173;56;0.0511882998171846
93;55;0.0502742230347349
117;55;0.0502742230347349
145;55;0.0502742230347349
129;54;0.0493601462522852
9;53;0.0484460694698355
91;53;0.0484460694698355
56;53;0.0484460694698355
18;52;0.0475319926873857
69;51;0.046617915904936
126;48;0.0438756855575868
137;48;0.0438756855575868
167;48;0.0438756855575868
193;47;0.0429616087751371
32;46;0.0420475319926874
115;46;0.0420475319926874
74;45;0.0411334552102377
168;44;0.0402193784277879
172;44;0.0402193784277879
52;44;0.0402193784277879
118;43;0.0393053016453382
127;43;0.0393053016453382
181;40;0.036563071297989
133;39;0.0356489945155393
36;39;0.0356489945155393
174;38;0.0347349177330896
166;35;0.0319926873857404
147;35;0.0319926873857404
116;35;0.0319926873857404
30;34;0.0310786106032907
80;34;0.0310786106032907
169;34;0.0310786106032907
65;33;0.030164533820841
140;32;0.0292504570383912
75;31;0.0283363802559415
23;31;0.0283363802559415
31;31;0.0283363802559415
111;30;0.0274223034734918
55;30;0.0274223034734918
66;28;0.0255941499085923
135;27;0.0246800731261426
128;27;0.0246800731261426
70;26;0.0237659963436929
131;25;0.0228519195612431
67;24;0.0219378427787934
153;24;0.0219378427787934
144;23;0.0210237659963437
35;22;0.020109689213894
188;22;0.020109689213894
88;21;0.0191956124314442
179;20;0.0182815356489945
10;20;0.0182815356489945
29;20;0.0182815356489945
187;19;0.0173674588665448
8;17;0.0155393053016453
5;16;0.0146252285191956
64;16;0.0146252285191956
71;16;0.0146252285191956
17;16;0.0146252285191956
62;11;0.010054844606947
186;10;0.00914076782449726
171;9;0.00822669104204753
180;9;0.00822669104204753
59;6;0.00548446069469835
161;5;0.00457038391224863
98;3;0.00274223034734918
7;0;0
19;0;0
