gid;#restaurants;rating
47;32;0.0474074074074074
48;129;0.191111111111111
49;92;0.136296296296296
50;46;0.0681481481481482
51;119;0.176296296296296
52;30;0.0444444444444444
53;96;0.142222222222222
54;13;0.0192592592592593
55;3;0.00444444444444444
56;24;0.0355555555555556
57;66;0.0977777777777778
58;110;0.162962962962963
59;6;0.00888888888888889
60;267;0.395555555555556
61;40;0.0592592592592593
62;8;0.0118518518518519
63;66;0.0977777777777778
64;8;0.0118518518518519
65;23;0.0340740740740741
66;24;0.0355555555555556
67;20;0.0296296296296296
68;32;0.0474074074074074
69;29;0.042962962962963
70;8;0.0118518518518519
71;7;0.0103703703703704
72;24;0.0355555555555556
73;163;0.241481481481481
74;22;0.0325925925925926
75;26;0.0385185185185185
76;67;0.0992592592592593
77;179;0.265185185185185
78;50;0.0740740740740741
79;103;0.152592592592593
80;23;0.0340740740740741
81;78;0.115555555555556
82;39;0.0577777777777778
83;236;0.34962962962963
84;89;0.131851851851852
85;6;0.00888888888888889
86;77;0.114074074074074
87;158;0.234074074074074
88;17;0.0251851851851852
89;71;0.105185185185185
90;42;0.0622222222222222
91;30;0.0444444444444444
92;50;0.0740740740740741
93;44;0.0651851851851852
94;16;0.0237037037037037
95;73;0.108148148148148
96;81;0.12
97;49;0.0725925925925926
98;3;0.00444444444444444
99;48;0.0711111111111111
100;317;0.46962962962963
101;146;0.216296296296296
102;140;0.207407407407407
103;32;0.0474074074074074
104;50;0.0740740740740741
105;526;0.779259259259259
106;582;0.862222222222222
107;38;0.0562962962962963
108;8;0.0118518518518519
109;30;0.0444444444444444
110;45;0.0666666666666667
183;42;0.0622222222222222
184;22;0.0325925925925926
185;109;0.161481481481481
186;3;0.00444444444444444
187;15;0.0222222222222222
188;16;0.0237037037037037
189;194;0.287407407407407
190;0;0
191;67;0.0992592592592593
192;46;0.0681481481481482
193;40;0.0592592592592593
194;51;0.0755555555555556
195;16;0.0237037037037037
21;675;1
1;44;0.0651851851851852
2;52;0.077037037037037
3;38;0.0562962962962963
4;79;0.117037037037037
5;10;0.0148148148148148
6;14;0.0207407407407407
7;0;0
8;14;0.0207407407407407
9;52;0.077037037037037
10;19;0.0281481481481481
11;39;0.0577777777777778
12;79;0.117037037037037
13;63;0.0933333333333333
14;479;0.70962962962963
15;113;0.167407407407407
16;36;0.0533333333333333
17;9;0.0133333333333333
18;30;0.0444444444444444
19;0;0
20;43;0.0637037037037037
22;362;0.536296296296296
23;31;0.0459259259259259
24;30;0.0444444444444444
25;55;0.0814814814814815
26;19;0.0281481481481481
27;98;0.145185185185185
28;204;0.302222222222222
29;4;0.00592592592592593
30;26;0.0385185185185185
31;20;0.0296296296296296
32;38;0.0562962962962963
33;46;0.0681481481481482
34;138;0.204444444444444
35;17;0.0251851851851852
36;31;0.0459259259259259
37;92;0.136296296296296
38;66;0.0977777777777778
39;31;0.0459259259259259
40;22;0.0325925925925926
41;282;0.417777777777778
42;143;0.211851851851852
43;19;0.0281481481481481
44;138;0.204444444444444
45;105;0.155555555555556
46;62;0.0918518518518519
111;27;0.04
112;79;0.117037037037037
113;83;0.122962962962963
114;129;0.191111111111111
115;33;0.0488888888888889
116;30;0.0444444444444444
117;42;0.0622222222222222
118;23;0.0340740740740741
119;27;0.04
120;103;0.152592592592593
121;36;0.0533333333333333
122;433;0.641481481481481
123;231;0.342222222222222
124;168;0.248888888888889
125;229;0.339259259259259
126;48;0.0711111111111111
127;35;0.0518518518518519
128;21;0.0311111111111111
129;40;0.0592592592592593
130;27;0.04
131;16;0.0237037037037037
132;102;0.151111111111111
133;22;0.0325925925925926
134;66;0.0977777777777778
135;25;0.037037037037037
136;15;0.0222222222222222
137;24;0.0355555555555556
138;25;0.037037037037037
139;32;0.0474074074074074
140;17;0.0251851851851852
141;62;0.0918518518518519
142;66;0.0977777777777778
143;125;0.185185185185185
144;20;0.0296296296296296
145;45;0.0666666666666667
146;31;0.0459259259259259
147;31;0.0459259259259259
148;80;0.118518518518519
149;163;0.241481481481481
150;61;0.0903703703703704
151;86;0.127407407407407
152;79;0.117037037037037
153;24;0.0355555555555556
154;17;0.0251851851851852
155;76;0.112592592592593
156;50;0.0740740740740741
157;12;0.0177777777777778
158;67;0.0992592592592593
159;154;0.228148148148148
160;41;0.0607407407407407
161;2;0.00296296296296296
162;9;0.0133333333333333
163;20;0.0296296296296296
164;42;0.0622222222222222
165;64;0.0948148148148148
166;32;0.0474074074074074
167;36;0.0533333333333333
168;19;0.0281481481481481
169;19;0.0281481481481481
170;25;0.037037037037037
171;5;0.00740740740740741
172;27;0.04
173;18;0.0266666666666667
174;33;0.0488888888888889
175;248;0.367407407407407
176;66;0.0977777777777778
177;36;0.0533333333333333
178;161;0.238518518518519
179;7;0.0103703703703704
180;3;0.00444444444444444
181;21;0.0311111111111111
182;104;0.154074074074074
