gid;distance;rating
1;1265.06221296;0.890101930349498
2;145.81508126;0.987332800085057
3;947.60349129;0.91768010029864
4;1138.98564846;0.901054412310284
5;1507.77157649;0.869017362124479
6;561.89463807;0.951187273291189
7;1954.36449904;0.830221088229787
8;2070.58530609;0.820124792397716
9;0;1
10;0;1
11;824.24242754;0.9283966821689
12;0;1
13;708.69775573;0.93843424100216
14;810.96682947;0.92954995557032
15;1596.77266186;0.861285689026697
16;988.62751151;0.914116275069103
17;535.65393944;0.953466846656178
18;247.20935351;0.97852451012134
19;4640.41033772;0.596879795098435
20;1306.51264125;0.886501062337956
21;432.40181886;0.962436531010683
22;1908.48993924;0.834206287942843
23;0;1
24;52.4505708;0.995443531216145
25;1275.56455194;0.889189574602173
26;798.3347364;0.930647326616437
27;0;1
28;0;1
29;1200.44454082;0.895715375570409
30;741.49834515;0.935584798955968
31;224.44993872;0.980501658538368
32;387.42227406;0.966343979274205
33;347.100532;0.969846796425759
34;0;1
35;1517.4860574;0.86817344892501
36;0;1
37;0;1
38;0;1
39;50.31347007;0.995629184729837
40;705.12746696;0.938744397957208
41;479.895708;0.958310657450308
42;1074.89078713;0.90662244008198
43;110.84679183;0.990370553855557
44;446.71537055;0.961193088842813
45;133.97569819;0.988361307088045
46;7800.5712615;0.322351331794037
47;520.15807106;0.954812998651767
48;0;1
49;227.48382221;0.980238100006875
50;1427.56381715;0.875985144287408
51;460.16914824;0.960024336679883
52;5833.4682797;0.493236856860623
53;2519.79442602;0.781101245062286
54;103.13816848;0.991040214854952
55;0;1
56;2273.23459016;0.802520310256683
57;270.70296958;0.976483580411518
58;1809.54768217;0.842801567248052
59;1702.66964926;0.852086240669266
60;1646.17825888;0.856993742206371
61;1222.87443015;0.893766853581064
62;0;1
63;0;1
64;2220.90732947;0.807066066885106
65;0;1
66;384.95011908;0.966558739510813
67;1996.40579579;0.826568890487181
68;364.85788473;0.968304185503436
69;1217.40070873;0.894242364912997
70;9560.23483362;0.169486415089416
71;11511.23233541;-0
72;137.9170039;0.988018919271071
73;19.85567782;0.998275104068665
74;208.77973842;0.981862955039334
75;0;1
76;0;1
77;287.83941869;0.974994908424829
78;0;1
79;277.18203782;0.975920732920371
80;362.15989547;0.968538564341548
81;9.74576824;0.999153368817861
82;0;1
83;1402.82435588;0.878134302652833
84;0;1
85;645.12528202;0.943956888087862
86;504.87655594;0.956140529421256
87;1264.86880597;0.8901187319381
88;471.57906929;0.959033137760641
89;0;1
90;84.89471544;0.992625054123975
91;856.93124335;0.925556950083096
92;0;1
93;783.08561373;0.931972043399634
94;784.81200904;0.931822068552485
95;330.4587027;0.971292499962539
96;589.5312308;0.948786436271768
97;271.60943879;0.97640483391561
98;641.90675585;0.944236486837694
99;2395.99171093;0.791856193922902
100;0;1
101;0;1
102;1556.3339608;0.864798666602139
103;0;1
104;3087.01476985;0.731825865389412
105;0;1
106;0;1
107;231.46089586;0.979892604969149
108;1097.67732387;0.904642935535807
109;9531.20185389;0.172008558582314
110;11439.47766048;0.00623344858649699
111;397.01172282;0.965510927826664
112;300.44222725;0.97390008137306
113;1111.94800236;0.903403217834505
114;783.59913174;0.931927433231493
115;247.32312967;0.978514626196085
116;1002.28654648;0.912929691863065
117;532.71671311;0.953722008418569
118;197.479998;0.982844582383024
119;2549.15837226;0.778550349955281
120;101.92555327;0.991145556765763
121;0;1
122;94.33180169;0.99180523866243
123;0;1
124;0;1
125;574.9270999;0.950055121541466
126;511.74095025;0.955544208010135
127;2598.5033163;0.77426367216074
128;4298.51283712;0.62658100263538
129;45.65068862;0.996034248350668
130;77.62572732;0.99325652327586
131;29.19706875;0.997463601819574
132;15.40149599;0.998662046291723
133;73.72646161;0.993595259007743
134;2930.48703227;0.74542369167066
135;6824.665128;0.407129929346794
136;1113.71876875;0.903249388397447
137;1245.47481746;0.891803520147121
138;0;1
139;3530.47050329;0.693302124358152
140;6573.07267135;0.428986186723866
141;0;1
142;1720.01756698;0.850579198050846
143;916.3558145;0.920394638228161
144;2001.82102845;0.826098460171623
145;699.76743603;0.939210032806181
146;217.89279168;0.981071288865421
147;562.41085244;0.951142428885746
148;0;1
149;1309.78330559;0.886216934258121
150;1624.03623707;0.858917256662933
151;0;1
152;423.06881013;0.963247305084045
153;46.33695156;0.995974631541624
154;1095.72760806;0.904812310608187
155;151.59153662;0.986830989749578
156;0;1
157;1738.56487927;0.848967962020716
158;1375.40682741;0.880516109193707
159;661.54103983;0.942530823759415
160;0;1
161;282.66664991;0.975444275497726
162;1225.86937334;0.893506677858541
163;1828.03256694;0.841195754400965
164;692.06044704;0.93987955182599
165;482.99581287;0.95804134615681
166;0;1
167;313.51529772;0.972764401882882
168;1082.18230549;0.905989013690474
169;1052.9205946;0.908531027441685
170;0;1
171;2512.89123007;0.781700937236752
172;42.02490528;0.9963492262118
173;1562.29218043;0.864281066100613
174;0;1
175;290.27063385;0.974783704698837
176;1515.68898275;0.868329563804602
177;256.42450914;0.977723974143828
178;0;1
179;60.87819509;0.994711409402907
180;0;1
181;6201.68470287;0.46124928051423
182;853.11826496;0.925888189891216
183;1360.55998277;0.881805879411821
184;0;1
185;714.0212944;0.937971776296828
186;164.83465238;0.985680538140739
187;18.36687037;0.998404439261164
188;1529.90085139;0.867094955013302
189;2333.25908427;0.797305882091129
190;173.84731368;0.984897593184248
191;845.29357198;0.92656793405344
192;0;1
193;20.52510937;0.998216949430613
194;409.59311525;0.964417961229916
195;0;1
